month,doctor_id,rep_id,product_id,product_name,region,state,specialty,potential_segment,sales_calls,prescriptions,units_sold,discount_pct,revenue,cost,new_patients,repeat_patients,gross_profit,gross_margin_pct
2025-01-01,D0026,R004,P005,MediCore,West,Goa,General Medicine,Medium,3,24,31,0.0840,20446.08,15198.05,9,15,5248.03,0.2567
2025-01-01,D0027,R007,P005,MediCore,South,Karnataka,General Medicine,Medium,6,29,39,0.0613,26359.18,19516.92,7,22,6842.26,0.2596
2025-01-01,D0028,R005,P001,CardioPlus,Central,Chhattisgarh,Cardiology,Medium,1,32,34,0.0826,38989.49,24996.03,10,22,13993.46,0.3589
2025-01-01,D0028,R025,P002,GlucoCare,Central,Chhattisgarh,Cardiology,Medium,6,18,22,0.0643,20173.80,13843.43,7,11,6330.36,0.3138
2025-01-01,D0029,R023,P002,GlucoCare,East,Bihar,Diabetology,High,7,49,53,0.0710,48253.23,32752.48,18,31,15500.76,0.3212
2025-01-01,D0030,R004,P003,RespiraX,West,Rajasthan,Pulmonology,Medium,6,39,45,0.0975,57671.96,33468.97,15,24,24202.99,0.4197
2025-01-01,D0031,R001,P003,RespiraX,North,Haryana,Pulmonology,High,9,53,56,0.0741,73628.87,44221.73,16,37,29407.14,0.3994
2025-01-01,D0031,R016,P002,GlucoCare,North,Haryana,Pulmonology,High,4,19,24,0.0803,21630.37,14960.34,4,15,6670.03,0.3084
2025-01-01,D0032,R023,P001,CardioPlus,East,Bihar,Cardiology,Medium,2,32,36,0.0977,40604.01,25385.77,11,21,15218.23,0.3748
2025-01-01,D0033,R018,P003,RespiraX,East,Bihar,Pulmonology,High,3,51,57,0.0602,76066.85,47351.86,17,34,28714.99,0.3775
2025-01-01,D0034,R018,P005,MediCore,East,West Bengal,General Medicine,High,12,54,59,0.0569,40063.91,27907.35,13,41,12156.56,0.3034
2025-01-01,D0035,R021,P004,NeuroZen,North,Uttar Pradesh,Neurology,Medium,3,29,34,0.0867,51238.45,28662.61,9,20,22575.85,0.4406
2025-01-01,D0036,R023,P002,GlucoCare,East,Assam,Diabetology,Medium,1,26,31,0.0783,28002.59,19159.57,6,20,8843.02,0.3158
2025-01-01,D0037,R009,P005,MediCore,West,Maharashtra,General Medicine,Low,4,18,21,0.0696,14067.20,10439.28,7,11,3627.92,0.2579
2025-01-01,D0037,R014,P003,RespiraX,West,Maharashtra,General Medicine,Low,1,10,12,0.0908,15493.06,9643.90,3,7,5849.15,0.3775
2025-01-01,D0038,R022,P004,NeuroZen,South,Kerala,Neurology,High,5,35,44,0.0570,68464.46,39951.10,8,27,28513.36,0.4165
2025-01-01,D0039,R004,P002,GlucoCare,West,Rajasthan,Diabetology,Medium,8,36,39,0.0887,34831.02,24512.21,12,24,10318.81,0.2963
2025-01-01,D0040,R018,P001,CardioPlus,East,Assam,Cardiology,Medium,5,29,31,0.0813,35601.21,22872.63,7,22,12728.57,0.3575
2025-01-01,D0041,R001,P004,NeuroZen,North,Haryana,Neurology,Low,2,15,18,0.0936,26919.02,15446.18,3,12,11472.84,0.4262
2025-01-01,D0042,R018,P002,GlucoCare,East,Bihar,Diabetology,Low,1,21,24,0.0863,21490.67,14614.47,7,14,6876.20,0.3200
2025-01-01,D0043,R001,P004,NeuroZen,North,Uttar Pradesh,Neurology,High,8,46,51,0.1016,75601.49,44228.34,11,35,31373.16,0.4150
2025-01-01,D0044,R022,P001,CardioPlus,South,Tamil Nadu,Cardiology,Medium,4,35,45,0.0700,52309.92,33405.64,9,26,18904.28,0.3614
2025-01-01,D0045,R005,P005,MediCore,Central,Chhattisgarh,General Medicine,High,3,41,55,0.0911,35992.21,26766.97,16,25,9225.24,0.2563
2025-01-01,D0046,R022,P005,MediCore,South,Kerala,General Medicine,Low,4,25,33,0.0941,21524.45,15284.31,8,17,6240.14,0.2899
2025-01-01,D0047,R004,P003,RespiraX,West,Maharashtra,Pulmonology,Medium,6,49,64,0.0811,83505.19,49947.45,16,33,33557.74,0.4019
2025-01-01,D0048,R021,P001,CardioPlus,North,Delhi,Cardiology,Medium,7,35,41,0.0851,46889.69,31168.30,8,27,15721.40,0.3353
2025-01-01,D0049,R018,P005,MediCore,East,Assam,General Medicine,High,8,61,73,0.0868,47996.97,35930.49,16,45,12066.48,0.2514
2025-01-01,D0050,R017,P005,MediCore,South,Karnataka,General Medicine,Medium,3,33,43,0.0653,28938.18,20776.83,13,20,8161.35,0.2820
2025-01-01,D0051,R016,P005,MediCore,North,Punjab,General Medicine,Medium,3,34,41,0.0801,27155.45,20014.83,8,26,7140.63,0.2630
2025-01-01,D0052,R001,P002,GlucoCare,North,Punjab,Diabetology,Low,4,17,19,0.0817,17098.39,11938.81,5,12,5159.58,0.3018
2025-01-01,D0053,R005,P002,GlucoCare,Central,Madhya Pradesh,Diabetology,Medium,9,58,72,0.0998,63514.67,44163.59,15,43,19351.08,0.3047
2025-01-01,D0054,R007,P003,RespiraX,South,Kerala,Pulmonology,Medium,7,46,53,0.0840,68936.43,42289.88,11,35,26646.55,0.3865
2025-01-01,D0055,R008,P005,MediCore,East,Odisha,General Medicine,Medium,3,24,27,0.1035,17427.44,12772.17,8,16,4655.27,0.2671
2025-01-01,D0056,R020,P005,MediCore,Central,Jharkhand,General Medicine,Medium,5,35,36,0.0862,23686.13,16739.28,14,21,6946.85,0.2933
2025-01-01,D0057,R020,P004,NeuroZen,Central,Jharkhand,Neurology,Medium,2,22,28,0.0762,42679.20,23914.38,7,15,18764.82,0.4397
2025-01-01,D0058,R023,P001,CardioPlus,East,Bihar,Cardiology,High,7,47,58,0.0847,66358.98,43319.96,17,30,23039.02,0.3472
2025-01-01,D0059,R018,P005,MediCore,East,Bihar,General Medicine,Medium,2,22,27,0.1017,17463.53,12528.05,7,15,4935.48,0.2826
2025-01-01,D0060,R010,P005,MediCore,Central,Jharkhand,General Medicine,Low,2,18,20,0.0681,13419.64,9635.01,4,14,3784.63,0.2820
2025-01-01,D0060,R005,P003,RespiraX,Central,Jharkhand,General Medicine,Low,4,8,9,0.0566,12057.29,7000.98,2,6,5056.31,0.4194
2025-01-01,D0061,R008,P002,GlucoCare,East,Assam,Diabetology,Medium,8,33,36,0.0692,32837.58,22097.58,9,24,10740.01,0.3271
2025-01-01,D0062,R006,P003,RespiraX,North,Punjab,Pulmonology,Medium,6,34,42,0.0963,53897.50,33362.93,9,25,20534.56,0.3810
2025-01-01,D0063,R016,P003,RespiraX,North,Uttar Pradesh,Pulmonology,Medium,10,43,54,0.0709,71240.44,41944.58,16,27,29295.85,0.4112
2025-01-01,D0064,R015,P002,GlucoCare,Central,Jharkhand,Diabetology,High,9,53,65,0.0629,59690.55,42155.33,17,36,17535.22,0.2938
2025-01-01,D0065,R003,P003,RespiraX,East,West Bengal,Pulmonology,High,3,44,48,0.0777,62864.10,37603.09,15,29,25261.00,0.4018
2025-01-01,D0066,R019,P001,CardioPlus,West,Rajasthan,Cardiology,Low,3,17,20,0.0817,22957.70,14669.64,6,11,8288.06,0.3610
2025-01-01,D0067,R002,P005,MediCore,South,Karnataka,General Medicine,Medium,4,28,29,0.0676,19469.01,14284.26,9,19,5184.75,0.2663
2025-01-01,D0068,R002,P001,CardioPlus,South,Kerala,Cardiology,Medium,3,27,33,0.1014,37066.30,23675.78,7,20,13390.52,0.3613
2025-01-01,D0069,R005,P005,MediCore,Central,Chhattisgarh,General Medicine,Medium,4,31,37,0.0582,25090.48,18128.01,9,22,6962.48,0.2775
2025-01-01,D0070,R014,P002,GlucoCare,West,Gujarat,Diabetology,Low,3,23,27,0.0980,23867.02,16469.43,6,17,7397.59,0.3100
2025-01-01,D0071,R018,P003,RespiraX,East,West Bengal,Pulmonology,High,5,58,67,0.0712,88362.95,52144.85,22,36,36218.10,0.4099
2025-01-01,D0072,R015,P003,RespiraX,Central,Madhya Pradesh,Pulmonology,High,11,67,80,0.0616,106600.49,62822.85,24,43,43777.64,0.4107
2025-01-01,D0072,R015,P004,NeuroZen,Central,Madhya Pradesh,Pulmonology,High,6,34,40,0.0576,62198.72,36950.62,11,23,25248.10,0.4059
2025-01-01,D0073,R010,P002,GlucoCare,Central,Chhattisgarh,Diabetology,High,5,35,40,0.0648,36661.69,24945.52,13,22,11716.16,0.3196
2025-01-01,D0074,R021,P004,NeuroZen,North,Delhi,Neurology,Medium,3,35,37,0.1046,54661.75,30788.88,7,28,23872.87,0.4367
2025-01-01,D0075,R014,P002,GlucoCare,West,Goa,Diabetology,Medium,3,30,37,0.1036,32505.11,21915.57,6,24,10589.54,0.3258
2025-01-01,D0076,R023,P001,CardioPlus,East,West Bengal,Cardiology,High,4,49,61,0.0840,69848.33,46229.19,20,29,23619.15,0.3381
2025-01-01,D0077,R002,P001,CardioPlus,South,Karnataka,Cardiology,High,8,48,58,0.0970,65468.78,41386.66,15,33,24082.12,0.3678
2025-01-01,D0078,R019,P001,CardioPlus,West,Goa,Cardiology,High,7,42,46,0.0958,51991.15,33209.82,15,27,18781.33,0.3612
2025-01-01,D0079,R012,P005,MediCore,South,Karnataka,General Medicine,Low,2,18,19,0.1047,12248.38,8556.12,4,14,3692.26,0.3014
2025-01-01,D0080,R003,P002,GlucoCare,East,Odisha,Diabetology,Low,1,13,15,0.0610,13802.88,9648.06,4,9,4154.82,0.3010
2025-01-01,D0081,R025,P004,NeuroZen,Central,Madhya Pradesh,Neurology,Low,3,26,35,0.0746,53442.37,30231.31,6,20,23211.06,0.4343
2025-01-01,D0082,R007,P003,RespiraX,South,Tamil Nadu,Pulmonology,Low,2,19,24,0.0837,31225.94,18635.77,5,14,12590.17,0.4032
2025-01-01,D0083,R005,P003,RespiraX,Central,Chhattisgarh,Pulmonology,Low,3,25,27,0.0820,35195.91,20946.66,9,16,14249.25,0.4049
2025-01-01,D0084,R006,P001,CardioPlus,North,Haryana,Cardiology,Low,2,17,21,0.0643,24562.16,15451.90,5,12,9110.26,0.3709
2025-01-01,D0085,R003,P002,GlucoCare,East,West Bengal,Diabetology,Medium,3,46,57,0.0756,51639.11,33900.49,11,35,17738.62,0.3435
2025-01-01,D0085,R003,P003,RespiraX,East,West Bengal,Diabetology,Medium,2,9,10,0.0852,12990.81,7797.37,3,6,5193.44,0.3998
2025-01-01,D0086,R013,P002,GlucoCare,East,Assam,Diabetology,Low,1,12,15,0.1024,13195.24,9287.78,4,8,3907.46,0.2961
2025-01-01,D0086,R008,P004,NeuroZen,East,Assam,Diabetology,Low,1,8,9,0.1029,13321.49,7728.34,2,6,5593.15,0.4199
2025-01-01,D0087,R022,P004,NeuroZen,South,Tamil Nadu,Neurology,Medium,6,36,38,0.0611,58866.99,35175.97,8,28,23691.02,0.4024
2025-01-01,D0087,R007,P003,RespiraX,South,Tamil Nadu,Neurology,Medium,6,22,25,0.0718,32950.50,19916.09,8,14,13034.41,0.3956
2025-01-01,D0088,R010,P003,RespiraX,Central,Madhya Pradesh,Pulmonology,High,9,36,37,0.0985,47367.31,28132.55,14,22,19234.76,0.4061
2025-01-01,D0088,R020,P002,GlucoCare,Central,Madhya Pradesh,Pulmonology,High,6,30,37,0.0778,33437.74,22408.77,10,20,11028.97,0.3298
2025-01-01,D0089,R012,P002,GlucoCare,South,Kerala,Diabetology,Medium,5,34,39,0.0788,35207.49,24241.79,10,24,10965.70,0.3115
2025-01-01,D0090,R010,P004,NeuroZen,Central,Madhya Pradesh,Neurology,Medium,3,35,45,0.0658,69362.88,39125.05,10,25,30237.83,0.4359
2025-01-01,D0091,R023,P002,GlucoCare,East,Assam,Diabetology,High,7,44,58,0.0723,52729.68,37209.74,18,26,15519.94,0.2943
2025-01-01,D0091,R018,P003,RespiraX,East,Assam,Diabetology,High,10,40,48,0.0642,63786.63,38612.39,12,28,25174.24,0.3947
2025-01-01,D0092,R018,P001,CardioPlus,East,West Bengal,Cardiology,Medium,7,33,41,0.0724,47537.64,30502.99,12,21,17034.64,0.3583
2025-01-01,D0092,R018,P003,RespiraX,East,West Bengal,Cardiology,Medium,4,17,22,0.0942,28295.82,16450.04,6,11,11845.78,0.4186
2025-01-01,D0093,R015,P003,RespiraX,Central,Madhya Pradesh,Pulmonology,Low,2,14,16,0.0807,20885.53,12278.88,5,9,8606.65,0.4121
2025-01-01,D0094,R007,P002,GlucoCare,South,Kerala,Diabetology,Low,5,28,34,0.0902,30316.07,20381.28,10,18,9934.79,0.3277
2025-01-01,D0095,R012,P003,RespiraX,South,Tamil Nadu,Pulmonology,Medium,3,25,33,0.0727,43454.85,26596.76,9,16,16858.09,0.3879
2025-01-01,D0096,R013,P004,NeuroZen,East,Odisha,Neurology,Medium,1,15,16,0.0591,24839.92,14661.55,4,11,10178.37,0.4098
2025-01-01,D0097,R014,P003,RespiraX,West,Maharashtra,Pulmonology,Medium,5,37,40,0.0998,51131.45,31476.50,15,22,19654.95,0.3844
2025-01-01,D0098,R001,P002,GlucoCare,North,Delhi,Diabetology,Medium,3,23,24,0.0584,22146.46,15241.41,10,13,6905.04,0.3118
2025-01-01,D0098,R006,P005,MediCore,North,Delhi,Diabetology,Medium,4,21,27,0.0884,17721.07,12956.09,8,13,4764.98,0.2689
2025-01-01,D0099,R013,P002,GlucoCare,East,Assam,Diabetology,Medium,4,20,26,0.0576,24012.21,15876.74,7,13,8135.47,0.3388
2025-01-01,D0100,R005,P002,GlucoCare,Central,Madhya Pradesh,Diabetology,Medium,8,40,50,0.0813,45018.12,31384.37,15,25,13633.76,0.3029
2025-01-01,D0101,R005,P004,NeuroZen,Central,Chhattisgarh,Neurology,Medium,3,33,42,0.0554,65458.98,39461.47,14,19,25997.51,0.3972
2025-01-01,D0102,R013,P003,RespiraX,East,West Bengal,Pulmonology,Low,4,23,29,0.0998,37070.18,21588.47,9,14,15481.71,0.4176
2025-01-01,D0103,R019,P002,GlucoCare,West,Rajasthan,Diabetology,Low,5,17,19,0.0766,17193.62,11806.99,7,10,5386.63,0.3133
2025-01-01,D0104,R005,P001,CardioPlus,Central,Jharkhand,Cardiology,Medium,3,26,31,0.0767,35777.68,22439.70,10,16,13337.98,0.3728
2025-01-01,D0105,R006,P004,NeuroZen,North,Haryana,Neurology,Medium,4,26,33,0.0960,49222.66,29246.23,6,20,19976.44,0.4058
2025-01-01,D0106,R012,P004,NeuroZen,South,Kerala,Neurology,Medium,5,34,36,0.0706,55203.72,33156.88,14,20,22046.83,0.3994
2025-01-01,D0107,R024,P001,CardioPlus,West,Maharashtra,Cardiology,Medium,4,33,40,0.0931,45347.04,29945.01,11,22,15402.03,0.3396
2025-01-01,D0108,R025,P001,CardioPlus,Central,Chhattisgarh,Cardiology,Medium,4,34,35,0.0683,40763.48,27063.48,13,21,13700.01,0.3361
2025-01-01,D0109,R009,P004,NeuroZen,West,Rajasthan,Neurology,Low,1,17,20,0.0758,30497.24,17032.69,5,12,13464.55,0.4415
2025-01-01,D0110,R018,P002,GlucoCare,East,Odisha,Diabetology,Medium,2,35,39,0.1027,34296.40,23521.81,11,24,10774.59,0.3142
2025-01-01,D0111,R024,P001,CardioPlus,West,Maharashtra,Cardiology,High,7,48,63,0.0863,71954.10,46173.99,11,37,25780.11,0.3583
2025-01-01,D0112,R021,P001,CardioPlus,North,Haryana,Cardiology,Medium,7,32,36,0.0991,40541.28,26759.03,9,23,13782.24,0.3400
2025-01-01,D0113,R015,P001,CardioPlus,Central,Jharkhand,Cardiology,Low,1,14,16,0.1022,17956.67,11237.91,5,9,6718.76,0.3742
2025-01-01,D0114,R022,P004,NeuroZen,South,Karnataka,Neurology,Low,2,12,15,0.0939,22424.99,12598.54,2,10,9826.44,0.4382
2025-01-01,D0115,R018,P003,RespiraX,East,Odisha,Pulmonology,Medium,3,20,21,0.0972,26920.45,16610.59,6,14,10309.86,0.3830
2025-01-01,D0116,R014,P004,NeuroZen,West,Gujarat,Neurology,Medium,8,32,40,0.0569,62242.75,35351.76,10,22,26890.99,0.4320
2025-01-01,D0117,R007,P001,CardioPlus,South,Karnataka,Cardiology,Medium,5,28,30,0.1010,33711.74,20826.98,10,18,12884.76,0.3822
2025-01-01,D0118,R012,P005,MediCore,South,Telangana,General Medicine,Medium,3,38,43,0.0640,28979.80,21266.14,10,28,7713.66,0.2662
2025-01-01,D0119,R009,P003,RespiraX,West,Goa,Pulmonology,Medium,8,31,36,0.0763,47219.14,28979.66,9,22,18239.48,0.3863
2025-01-01,D0119,R014,P005,MediCore,West,Goa,Pulmonology,Medium,4,17,21,0.1018,13580.80,9472.04,7,10,4108.77,0.3025
2025-01-01,D0120,R004,P002,GlucoCare,West,Goa,Diabetology,High,4,49,53,0.0722,48189.59,33311.05,21,28,14878.54,0.3088
2025-01-01,D0120,R019,P003,RespiraX,West,Goa,Diabetology,High,5,20,23,0.1044,29251.87,17549.01,5,15,11702.85,0.4001
2025-01-01,D0121,R021,P001,CardioPlus,North,Uttar Pradesh,Cardiology,High,6,46,49,0.0660,57209.93,36779.41,10,36,20430.52,0.3571
2025-01-01,D0122,R009,P001,CardioPlus,West,Gujarat,Cardiology,Medium,6,39,45,0.0578,53000.65,34050.50,11,28,18950.14,0.3575
2025-01-01,D0123,R008,P004,NeuroZen,East,West Bengal,Neurology,Low,1,10,12,0.0896,18026.25,10575.34,3,7,7450.91,0.4133
2025-01-01,D0124,R004,P004,NeuroZen,West,Maharashtra,Neurology,Medium,4,34,45,0.1003,66801.77,37571.74,9,25,29230.04,0.4376
2025-01-01,D0125,R010,P003,RespiraX,Central,Madhya Pradesh,Pulmonology,High,9,60,77,0.0756,101069.28,60404.96,22,38,40664.32,0.4023
2025-01-01,D0126,R012,P003,RespiraX,South,Telangana,Pulmonology,Medium,1,25,32,0.0602,42706.43,24947.81,10,15,17758.62,0.4158
2025-01-01,D0127,R016,P004,NeuroZen,North,Punjab,Neurology,High,6,48,55,0.0618,85143.59,47982.23,20,28,37161.36,0.4365
2025-01-01,D0128,R011,P002,GlucoCare,North,Uttar Pradesh,Diabetology,Low,1,14,14,0.0798,12624.64,8728.28,4,10,3896.36,0.3086
2025-01-01,D0129,R023,P005,MediCore,East,Bihar,General Medicine,High,11,61,71,0.0870,46670.52,32311.92,17,44,14358.61,0.3077
2025-01-01,D0130,R003,P004,NeuroZen,East,Assam,Neurology,Medium,3,29,36,0.0799,54652.46,31148.44,9,20,23504.02,0.4301
2025-01-01,D0131,R015,P004,NeuroZen,Central,Madhya Pradesh,Neurology,Medium,5,33,44,0.0749,67164.58,38515.17,14,19,28649.41,0.4266
2025-01-01,D0132,R006,P001,CardioPlus,North,Punjab,Cardiology,Medium,3,30,32,0.0551,37796.87,24823.99,10,20,12972.88,0.3432
2025-01-01,D0133,R007,P002,GlucoCare,South,Tamil Nadu,Diabetology,Medium,3,26,34,0.0736,30866.25,20258.11,10,16,10608.14,0.3437
2025-01-01,D0134,R020,P002,GlucoCare,Central,Madhya Pradesh,Diabetology,Low,4,28,31,0.0911,27612.39,18177.54,9,19,9434.86,0.3417
2025-01-01,D0135,R024,P005,MediCore,West,Gujarat,General Medicine,Low,5,24,28,0.0593,18964.75,13114.98,6,18,5849.76,0.3085
2025-01-01,D0136,R011,P004,NeuroZen,North,Uttar Pradesh,Neurology,High,4,40,45,0.0946,67226.54,38965.09,16,24,28261.46,0.4204
2025-01-01,D0137,R016,P005,MediCore,North,Uttar Pradesh,General Medicine,Low,4,23,28,0.1032,18079.14,12549.16,8,15,5529.97,0.3059
2025-01-01,D0138,R024,P001,CardioPlus,West,Maharashtra,Cardiology,High,8,60,75,0.0724,86961.78,56156.62,23,37,30805.16,0.3542
2025-01-01,D0139,R011,P001,CardioPlus,North,Punjab,Cardiology,Medium,3,26,31,0.0974,34974.84,22123.44,6,20,12851.40,0.3674
2025-01-01,D0140,R018,P001,CardioPlus,East,Odisha,Cardiology,Medium,4,24,29,0.0732,33594.81,20997.44,9,15,12597.37,0.3750
2025-01-01,D0141,R012,P003,RespiraX,South,Karnataka,Pulmonology,Medium,6,34,45,0.0668,59632.31,37201.18,13,21,22431.13,0.3762
2025-01-01,D0142,R025,P003,RespiraX,Central,Jharkhand,Pulmonology,High,11,58,68,0.0916,87719.10,51525.69,22,36,36193.41,0.4126
2025-01-01,D0143,R008,P004,NeuroZen,East,Assam,Neurology,Medium,3,30,32,0.0772,48724.23,27824.17,7,23,20900.05,0.4289
2025-01-01,D0144,R002,P004,NeuroZen,South,Telangana,Neurology,Medium,5,30,34,0.1049,50216.41,28889.13,12,18,21327.28,0.4247
2025-01-01,D0145,R018,P004,NeuroZen,East,Bihar,Neurology,Medium,7,48,50,0.0737,76416.17,44178.29,19,29,32237.88,0.4219
2025-01-01,D0145,R023,P001,CardioPlus,East,Bihar,Neurology,Medium,3,10,12,0.1030,13455.47,8811.01,3,7,4644.46,0.3452
2025-01-01,D0146,R002,P001,CardioPlus,South,Telangana,Cardiology,High,6,47,61,0.0748,70546.55,44425.02,17,30,26121.53,0.3703
2025-01-01,D0146,R007,P005,MediCore,South,Telangana,Cardiology,High,4,29,30,0.1012,19414.97,14179.78,9,20,5235.20,0.2696
2025-01-01,D0147,R007,P003,RespiraX,South,Karnataka,Pulmonology,Medium,3,28,37,0.0625,49255.86,30484.70,11,17,18771.16,0.3811
2025-01-01,D0148,R022,P003,RespiraX,South,Karnataka,Pulmonology,High,6,50,55,0.0695,72672.38,42033.42,18,32,30638.96,0.4216
2025-01-01,D0149,R024,P003,RespiraX,West,Rajasthan,Pulmonology,High,9,54,65,0.0863,84334.69,50573.23,21,33,33761.47,0.4003
2025-01-01,D0150,R005,P003,RespiraX,Central,Jharkhand,Pulmonology,Medium,2,29,32,0.0955,41101.90,25448.06,10,19,15653.84,0.3809
2025-01-01,D0151,R023,P002,GlucoCare,East,Assam,Diabetology,Low,1,9,9,0.0828,8089.70,5639.27,2,7,2450.44,0.3029
2025-01-01,D0152,R006,P001,CardioPlus,North,Uttar Pradesh,Cardiology,Medium,3,30,38,0.0622,44543.89,28442.57,9,21,16101.32,0.3615
2025-01-01,D0152,R001,P005,MediCore,North,Uttar Pradesh,Cardiology,Medium,3,8,10,0.0809,6617.71,4614.27,1,7,2003.44,0.3027
2025-01-01,D0153,R024,P002,GlucoCare,West,Gujarat,Diabetology,Medium,4,32,40,0.0949,35479.33,23894.47,12,20,11584.86,0.3265
2025-01-01,D0153,R019,P005,MediCore,West,Gujarat,Diabetology,Medium,2,15,17,0.0865,11180.91,8085.86,3,12,3095.04,0.2768
2025-01-01,D0154,R011,P002,GlucoCare,North,Delhi,Diabetology,Medium,3,27,32,0.0711,29130.41,20225.16,6,21,8905.25,0.3057
2025-01-01,D0155,R007,P005,MediCore,South,Karnataka,General Medicine,Medium,12,47,52,0.0799,34450.11,25614.27,12,35,8835.84,0.2565
2025-01-01,D0156,R024,P003,RespiraX,West,Gujarat,Pulmonology,Medium,8,30,32,0.0798,41814.72,24954.08,8,22,16860.64,0.4032
2025-01-01,D0157,R020,P005,MediCore,Central,Madhya Pradesh,General Medicine,Low,4,23,30,0.0648,20201.17,14427.67,7,16,5773.50,0.2858
2025-01-01,D0158,R010,P001,CardioPlus,Central,Jharkhand,Cardiology,Low,3,15,17,0.0563,20054.58,13087.09,3,12,6967.49,0.3474
